0-100, *, 51744, Educated, *, NonMarried, Exec-managerial, Single, Orient, Male, 0, 0, 50-100, *, >50k
0-100, *, 145419, Educated, *, Married, Sales, In-Family, Occident, Male, 7688, 0, 50-100, *, >50k
0-100, *, 343847, Educated, *, Married, Protective-serv, In-Family, Occident, Male, 0, 0, 0-50, *, >50k
0-100, *, 283676, Educated, *, Married, Prof-specialty, In-Family, Occident, Male, 15024, 0, 50-100, *, >50k
0-100, *, 158294, Educated, *, Married, Prof-specialty, In-Family, Occident, Male, 99999, 0, 50-100, *, >50k
0-100, *, 24139, Educated, *, Married, Prof-specialty, Single, Occident, Female, 0, 0, 50-100, *, <=50k
0-100, *, 213290, Educated, *, Married, Prof-specialty, In-Family, Occident, Female, 0, 1887, 0-50, *, >50k
0-100, *, 105010, Educated, *, Married, Farming-fishing, In-Family, Occident, Male, 0, 2051, 0-50, *, <=50k
0-100, *, 167886, Educated, *, Married, Sales, In-Family, Occident, Male, 0, 0, 50-100, *, >50k
0-100, *, 370733, Educated, *, Married, Adm-clerical, In-Family, Orient, Male, 0, 0, 50-100, *, <=50k
0-100, *, 558490, Educated, *, Married, Adm-clerical, Single, Orient, Male, 0, 0, 50-100, *, <=50k
0-100, *, 117295, Educated, *, Married, Craft-repair, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 95469, Educated, *, Married, Adm-clerical, In-Family, Occident, Male, 7298, 0, 50-100, *, >50k
0-100, *, 140516, Educated, *, Married, Protective-serv, In-Family, Occident, Male, 0, 0, 50-100, *, >50k
0-100, *, 166565, Educated, *, Married, Machine-op-inspct, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 168672, Educated, *, Married, Prof-specialty, In-Family, Occident, Female, 0, 1902, 50-100, *, >50k
0-100, *, 130780, Educated, *, Married, Handlers-cleaners, In-Family, Orient, Male, 0, 0, 50-100, *, <=50k
0-100, *, 155574, Educated, *, Married, Prof-specialty, In-Family, Occident, Male, 7298, 0, 50-100, *, >50k
0-100, *, 162632, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 146603, Educated, *, Married, Prof-specialty, In-Family, Occident, Male, 0, 0, 50-100, *, >50k
0-100, *, 191025, Educated, *, Married, Exec-managerial, Single, Occident, Female, 4650, 0, 50-100, *, <=50k
0-100, *, 339954, Educated, *, Married, Craft-repair, In-Family, Occident, Male, 0, 0, 50-100, *, >50k
0-100, *, 182360, Educated, *, Married, Prof-specialty, Single, Orient, Female, 0, 0, 50-100, *, <=50k
0-100, *, 95435, Educated, *, Married, Transport-moving, In-Family, Occident, Male, 0, 1579, 50-100, *, <=50k
0-100, *, 150876, Educated, *, Married, Exec-managerial, In-Family, Orient, Male, 0, 1887, 50-100, *, >50k
0-100, *, 167728, Educated, *, Married, Prof-specialty, In-Family, Occident, Male, 0, 0, 50-100, *, >50k
0-100, *, 71417, Educated, *, Married, Craft-repair, In-Family, Occident, Male, 3103, 0, 50-100, *, >50k
0-100, *, 35224, Educated, *, Married, Craft-repair, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 338033, Educated, *, NonMarried, Other-service, Single, Occident, Male, 0, 0, 0-50, *, <=50k
0-100, *, 178530, Educated, *, Married, Prof-specialty, In-Family, Occident, Male, 0, 0, 50-100, *, >50k
0-100, *, 276241, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 0, 0, 50-100, *, >50k
0-100, *, 93705, Educated, *, Married, Sales, Single, Occident, Female, 0, 0, 50-100, *, <=50k
0-100, *, 280278, Educated, *, Married, Prof-specialty, Single, Orient, Female, 0, 0, 50-100, *, <=50k
0-100, *, 104501, Educated, *, Married, Craft-repair, In-Family, Occident, Male, 0, 0, 50-100, *, >50k
0-100, *, 175456, Educated, *, Married, Farming-fishing, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 94885, Educated, *, Married, Prof-specialty, Single, Occident, Male, 0, 0, 50-100, *, >50k
0-100, *, 192964, Educated, *, Married, Sales, Single, Occident, Female, 0, 0, 50-100, *, <=50k
0-100, *, 100480, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 0, 0, 50-100, *, >50k
0-100, *, 93730, Educated, *, Married, Transport-moving, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 138270, Educated, *, Married, Sales, In-Family, Orient, Female, 0, 0, 50-100, *, <=50k
0-100, *, 212685, Educated, *, Married, Other-service, In-Family, Orient, Male, 0, 0, 50-100, *, <=50k
0-100, *, 32801, Educated, *, Married, Exec-managerial, In-Family, Occident, Female, 0, 0, 50-100, *, >50k
0-100, *, 150999, Educated, *, Married, Prof-specialty, In-Family, Occident, Male, 0, 1977, 50-100, *, >50k
0-100, *, 174655, Educated, *, Married, Sales, In-Family, Occident, Male, 0, 0, 50-100, *, >50k
0-100, *, 99925, Educated, *, Married, Adm-clerical, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
0-100, *, 96062, Educated, *, Married, Protective-serv, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 185407, Educated, *, Married, Tech-support, In-Family, Occident, Male, 0, 0, 0-50, *, >50k
0-100, *, 132716, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 99999, 0, 50-100, *, >50k
0-100, *, 69345, Educated, *, Married, Transport-moving, In-Family, Occident, Male, 3103, 0, 50-100, *, >50k
0-100, *, 167793, Educated, *, Married, Prof-specialty, In-Family, Occident, Male, 0, 2415, 50-100, *, >50k
0-100, *, 207367, Educated, *, Married, Other-service, Single, Occident, Female, 0, 0, 50-100, *, <=50k
0-100, *, 178596, Educated, *, Married, Craft-repair, Single, Occident, Male, 0, 1408, 50-100, *, <=50k
0-100, *, 193871, Educated, *, Married, Exec-managerial, Single, Occident, Female, 0, 0, 50-100, *, <=50k
0-100, *, 160107, Educated, *, Married, Prof-specialty, In-Family, Occident, Male, 0, 0, 50-100, *, >50k
0-100, *, 186565, Educated, *, Married, Sales, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 20795, Educated, *, Married, Farming-fishing, In-Family, Occident, Male, 0, 0, 50-100, *, >50k
0-100, *, 283676, Educated, *, Married, Craft-repair, In-Family, Occident, Male, 0, 0, 50-100, *, >50k
0-100, *, 113290, Educated, *, Married, Sales, In-Family, Occident, Female, 0, 0, 0-50, *, <=50k
0-100, *, 86373, Educated, *, Married, Machine-op-inspct, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 321822, Educated, *, Married, Prof-specialty, In-Family, Occident, Male, 0, 0, 50-100, *, >50k
0-100, *, 279461, Educated, *, Married, Transport-moving, In-Family, Occident, Male, 0, 0, 50-100, *, >50k
0-100, *, 65408, Educated, *, Married, Craft-repair, In-Family, Occident, Male, 0, 0, 50-100, *, >50k
0-100, *, 205803, Educated, *, Married, Sales, In-Family, Occident, Male, 15024, 0, 50-100, *, >50k
0-100, *, 36480, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 324506, Educated, *, Married, Exec-managerial, Single, Orient, Female, 0, 0, 50-100, *, <=50k
0-100, *, 171852, Educated, *, Married, Prof-specialty, In-Family, Orient, Female, 0, 0, 50-100, *, <=50k
0-100, *, 116933, Educated, *, Married, Sales, Single, Occident, Female, 0, 0, 0-50, *, <=50k
0-100, *, 184424, Educated, *, Married, Adm-clerical, In-Family, Occident, Female, 0, 1902, 0-50, *, >50k
0-100, *, 83311, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
0-100, *, 305147, Educated, *, Married, Craft-repair, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 184007, Educated, *, Married, Adm-clerical, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 166220, Educated, *, Married, Sales, In-Family, Occident, Female, 3942, 0, 50-100, *, <=50k
0-100, *, 198362, Educated, *, Married, Exec-managerial, Single, Occident, Female, 0, 0, 50-100, *, <=50k
0-100, *, 125417, Educated, *, Married, Exec-managerial, In-Family, Orient, Female, 0, 0, 50-100, *, >50k
0-100, *, 127315, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 15024, 0, 50-100, *, >50k
0-100, *, 117791, Educated, *, Married, Adm-clerical, Single, Occident, Female, 0, 0, 50-100, *, <=50k
0-100, *, 297551, Educated, *, Married, Prof-specialty, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 198581, Educated, *, Married, Prof-specialty, In-Family, Occident, Male, 0, 0, 50-100, *, >50k
0-100, *, 128798, Educated, *, Married, Tech-support, In-Family, Occident, Male, 0, 0, 50-100, *, >50k
0-100, *, 96586, Educated, *, Married, Other-service, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 108926, Educated, *, Married, Machine-op-inspct, Single, Orient, Female, 0, 0, 50-100, *, <=50k
0-100, *, 129640, Educated, *, NonMarried, Other-service, Single, Occident, Female, 0, 0, 50-100, *, <=50k
0-100, *, 107597, Educated, *, Married, Exec-managerial, Single, Occident, Female, 14084, 0, 0-50, *, >50k
0-100, *, 232664, Educated, *, NonMarried, Exec-managerial, In-Family, Occident, Female, 0, 0, 50-100, *, <=50k
0-100, *, 165152, Educated, *, Married, Sales, In-Family, Occident, Male, 0, 0, 50-100, *, >50k
0-100, *, 84298, Educated, *, Married, Sales, In-Family, Occident, Male, 7688, 0, 50-100, *, >50k
0-100, *, 118701, Educated, *, Married, Adm-clerical, Single, Orient, Female, 0, 0, 50-100, *, <=50k
0-100, *, 315984, Educated, *, Married, Machine-op-inspct, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 209057, Educated, *, Married, Tech-support, Single, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 169818, Educated, *, Married, Other-service, In-Family, Orient, Female, 0, 0, 50-100, *, >50k
0-100, *, 59612, Educated, *, Married, Prof-specialty, In-Family, Occident, Male, 0, 0, 50-100, *, >50k
0-100, *, 53893, Educated, *, Married, Transport-moving, Single, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 67365, Educated, *, Married, Craft-repair, In-Family, Occident, Male, 0, 0, 50-100, *, >50k
0-100, *, 124356, Educated, *, Married, Sales, In-Family, Occident, Male, 0, 0, 50-100, *, >50k
0-100, *, 122177, Educated, *, Married, Machine-op-inspct, In-Family, Occident, Male, 0, 0, 50-100, *, >50k
0-100, *, 391585, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 15024, 0, 50-100, *, >50k
0-100, *, 235683, Educated, *, Married, Sales, In-Family, Occident, Female, 0, 0, 50-100, *, >50k
0-100, *, 105614, Educated, *, Married, Sales, Single, Occident, Male, 0, 0, 50-100, *, >50k
0-100, *, 226871, Educated, *, Married, Machine-op-inspct, In-Family, Orient, Male, 0, 0, 50-100, *, >50k
0-100, *, 127111, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 173411, Educated, *, Married, Sales, Single, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 128990, Educated, *, Married, Prof-specialty, In-Family, Occident, Male, 0, 0, 50-100, *, >50k
0-100, *, 225124, Educated, *, Married, Machine-op-inspct, Single, Orient, Female, 0, 0, 50-100, *, <=50k
0-100, *, 199326, Educated, *, Married, Sales, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 255559, Educated, *, Married, Adm-clerical, In-Family, Occident, Female, 0, 0, 50-100, *, >50k
0-100, *, 265295, Educated, *, NonMarried, Craft-repair, Single, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 224393, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 0, 0, 50-100, *, >50k
0-100, *, 133729, Educated, *, Married, Other-service, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
0-100, *, 275845, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 79019, Educated, *, Married, Prof-specialty, Single, Occident, Female, 0, 0, 0-50, *, <=50k
0-100, *, 123088, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 122066, Educated, *, Married, Sales, Single, Occident, Male, 0, 0, 0-50, *, <=50k
0-100, *, 305657, Educated, *, Married, Machine-op-inspct, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 133969, Educated, *, Married, Prof-specialty, In-Family, Orient, Male, 0, 0, 50-100, *, >50k
0-100, *, 349633, Educated, *, Married, Prof-specialty, In-Family, Occident, Female, 0, 0, 50-100, *, >50k
0-100, *, 107231, Educated, *, Married, Craft-repair, In-Family, Occident, Male, 0, 2002, 50-100, *, <=50k
0-100, *, 304246, Educated, *, Married, Prof-specialty, Single, Occident, Female, 0, 0, 50-100, *, <=50k
0-100, *, 44671, Educated, *, Married, Craft-repair, In-Family, Occident, Male, 0, 0, 50-100, *, >50k
0-100, *, 94754, Educated, *, Married, Adm-clerical, In-Family, Occident, Male, 0, 0, 50-100, *, >50k
0-100, *, 105444, Educated, *, Married, Machine-op-inspct, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
0-100, *, 123207, Educated, *, NonMarried, Adm-clerical, Single, Occident, Female, 0, 0, 50-100, *, <=50k
0-100, *, 67001, Educated, *, Married, Transport-moving, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 181717, Educated, *, Married, Prof-specialty, In-Family, Occident, Female, 0, 0, 0-50, *, <=50k
0-100, *, 31267, Educated, *, Married, Craft-repair, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 105449, Educated, *, NonMarried, Priv-house-serv, Single, Occident, Male, 0, 0, 0-50, *, <=50k
0-100, *, 379779, Educated, *, Married, Exec-managerial, Single, Occident, Female, 0, 0, 50-100, *, <=50k
0-100, *, 208978, Educated, *, Married, Adm-clerical, Single, Occident, Female, 0, 0, 0-50, *, <=50k
0-100, *, 186078, Educated, *, Married, Prof-specialty, In-Family, Occident, Female, 0, 0, 50-100, *, >50k
0-100, *, 160167, Educated, *, Married, Adm-clerical, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 213354, Educated, *, Married, Exec-managerial, Single, Occident, Male, 0, 0, 50-100, *, >50k
0-100, *, 43910, Educated, *, Married, Adm-clerical, In-Family, Occident, Female, 0, 0, 0-50, *, <=50k
0-100, *, 183710, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 0, 0, 50-100, *, >50k
0-100, *, 321851, Educated, *, Married, Adm-clerical, Single, Occident, Female, 0, 0, 0-50, *, <=50k
0-100, *, 59380, Educated, *, Married, Adm-clerical, Single, Occident, Female, 0, 0, 50-100, *, <=50k
0-100, *, 82649, Educated, *, Married, Prof-specialty, In-Family, Occident, Male, 5013, 0, 50-100, *, <=50k
0-100, *, 423222, Educated, *, Married, Sales, In-Family, Occident, Male, 99999, 0, 50-100, *, >50k
0-100, *, 125892, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 0, 0, 50-100, *, >50k
0-100, *, 148475, Educated, *, Married, Tech-support, Single, Occident, Female, 0, 0, 50-100, *, <=50k
0-100, *, 184986, Educated, *, Married, Other-service, Single, Occident, Female, 0, 0, 50-100, *, <=50k
0-100, *, 216453, Educated, *, Married, Exec-managerial, Single, Orient, Female, 0, 0, 50-100, *, <=50k
0-100, *, 151107, Educated, *, NonMarried, Craft-repair, Single, Orient, Male, 0, 0, 50-100, *, <=50k
0-100, *, 215096, Educated, *, Married, Other-service, Single, Occident, Female, 0, 0, 0-50, *, <=50k
0-100, *, 125892, Educated, *, Married, Sales, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 40666, Educated, *, Married, Farming-fishing, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 199590, Educated, *, Married, Craft-repair, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 102359, Educated, *, Married, Handlers-cleaners, Single, Occident, Male, 0, 2231, 50-100, *, >50k
0-100, *, 143459, Educated, *, Married, Handlers-cleaners, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
0-100, *, 32212, Educated, *, Married, Exec-managerial, In-Family, Occident, Female, 0, 0, 50-100, *, <=50k
0-100, *, 213140, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 0, 1902, 50-100, *, >50k
0-100, *, 159816, Educated, *, Married, Prof-specialty, In-Family, Occident, Female, 99999, 0, 0-50, *, >50k
0-100, *, 177211, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 0, 0, 50-100, *, >50k
0-100, *, 296849, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 0, 0, 50-100, *, >50k
0-100, *, 194895, Educated, *, Married, Handlers-cleaners, In-Family, Occident, Male, 7298, 0, 50-100, *, >50k
0-100, *, 145290, Educated, *, Married, Other-service, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 287647, Educated, *, Married, Sales, Single, Occident, Male, 4787, 0, 50-100, *, >50k
0-100, *, 245305, Educated, *, Married, Transport-moving, In-Family, Orient, Male, 0, 0, 50-100, *, >50k
0-100, *, 332355, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 83444, Educated, *, Married, Exec-managerial, Single, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 165468, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 7688, 0, 50-100, *, >50k
0-100, *, 117095, Educated, *, Married, Machine-op-inspct, Single, Occident, Female, 0, 0, 50-100, *, <=50k
0-100, *, 94606, Educated, *, Married, Prof-specialty, In-Family, Orient, Male, 0, 0, 50-100, *, >50k
0-100, *, 195956, Educated, *, Married, Tech-support, Single, Occident, Female, 0, 0, 0-50, *, <=50k
0-100, *, 102110, Educated, *, Married, Tech-support, In-Family, Occident, Male, 0, 0, 0-50, *, >50k
0-100, *, 159726, Educated, *, Married, Handlers-cleaners, Single, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 115613, Educated, *, Married, Other-service, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 125421, Educated, *, Married, Craft-repair, In-Family, Occident, Female, 0, 0, 50-100, *, >50k
0-100, *, 188694, Educated, *, NonMarried, Exec-managerial, Single, Occident, Male, 0, 0, 50-100, *, >50k
0-100, *, 209146, Educated, *, Married, Transport-moving, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 324791, Educated, *, Married, Prof-specialty, In-Family, Occident, Male, 0, 0, 50-100, *, >50k
0-100, *, 247892, Educated, *, Married, Craft-repair, In-Family, Orient, Male, 0, 0, 0-50, *, <=50k
0-100, *, 122177, Educated, *, NonMarried, Handlers-cleaners, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 277946, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 0, 0, 50-100, *, >50k
0-100, *, 181363, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 0, 0, 50-100, *, >50k
0-100, *, 168337, Educated, *, Married, Craft-repair, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 240841, Educated, *, Married, Other-service, Single, Occident, Female, 0, 0, 0-50, *, <=50k
0-100, *, 204057, Educated, *, Married, Exec-managerial, Single, Occident, Female, 0, 0, 50-100, *, <=50k
0-100, *, 155489, Educated, *, Married, Craft-repair, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 197038, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 0, 0, 50-100, *, >50k
0-100, *, 101722, Educated, *, Married, Prof-specialty, In-Family, Occident, Male, 0, 0, 50-100, *, >50k
0-100, *, 314773, Educated, *, Married, Prof-specialty, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 268234, Educated, *, Married, Handlers-cleaners, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 31650, Educated, *, Married, Prof-specialty, In-Family, Occident, Female, 0, 0, 50-100, *, <=50k
0-100, *, 50567, Educated, *, Married, Adm-clerical, Single, Occident, Female, 0, 0, 0-50, *, <=50k
0-100, *, 72333, Educated, *, Married, Adm-clerical, Single, Orient, Female, 0, 0, 50-100, *, <=50k
0-100, *, 269527, Educated, *, Married, Prof-specialty, In-Family, Occident, Male, 7298, 0, 50-100, *, >50k
0-100, *, 246183, Educated, *, Married, Sales, In-Family, Occident, Male, 0, 0, 50-100, *, >50k
0-100, *, 34545, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 0, 1887, 50-100, *, >50k
0-100, *, 169042, Educated, *, Married, Prof-specialty, Single, Occident, Female, 0, 625, 50-100, *, <=50k
0-100, *, 298130, Educated, *, Married, Machine-op-inspct, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 452402, Educated, *, Married, Exec-managerial, Single, Orient, Female, 0, 0, 50-100, *, <=50k
0-100, *, 162856, Educated, *, Married, Exec-managerial, Single, Occident, Female, 0, 0, 50-100, *, <=50k
0-100, *, 185859, Educated, *, Married, Craft-repair, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 148995, Educated, *, Married, Adm-clerical, Single, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 362654, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 15024, 0, 50-100, *, >50k
0-100, *, 115784, Educated, *, Married, Machine-op-inspct, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 98092, Educated, *, Married, Craft-repair, In-Family, Occident, Male, 0, 0, 50-100, *, >50k
0-100, *, 102308, Educated, *, Married, Prof-specialty, In-Family, Occident, Male, 0, 0, 50-100, *, >50k
0-100, *, 56841, Educated, *, Married, Farming-fishing, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 47086, Educated, *, Married, Sales, Single, Occident, Female, 0, 0, 50-100, *, <=50k
0-100, *, 543922, Educated, *, Married, Craft-repair, In-Family, Occident, Male, 0, 0, 50-100, *, >50k
0-100, *, 50282, Educated, *, Married, Machine-op-inspct, Single, Occident, Male, 3325, 0, 50-100, *, <=50k
0-100, *, 193366, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 0, 0, 50-100, *, >50k
0-100, *, 114797, Educated, *, Married, Exec-managerial, Single, Orient, Female, 0, 0, 50-100, *, <=50k
0-100, *, 223342, Educated, *, Married, Adm-clerical, Single, Occident, Female, 0, 0, 50-100, *, <=50k
0-100, *, 149049, Educated, *, Married, Exec-managerial, Single, Occident, Male, 14344, 0, 50-100, *, >50k
0-100, *, 31339, Educated, *, Married, Craft-repair, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 269417, Educated, *, NonMarried, Exec-managerial, Single, Occident, Female, 0, 2258, 50-100, *, >50k
0-100, *, 186982, Educated, *, Married, Exec-managerial, Single, Occident, Female, 0, 0, 50-100, *, >50k
0-100, *, 116143, Educated, *, Married, Machine-op-inspct, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 120629, Educated, *, Married, Sales, Single, Occident, Female, 0, 0, 0-50, *, <=50k
0-100, *, 147322, Educated, *, Married, Machine-op-inspct, In-Family, Occident, Female, 0, 0, 50-100, *, <=50k
0-100, *, 107425, Educated, *, NonMarried, Sales, Single, Occident, Female, 0, 0, 0-50, *, <=50k
0-100, *, 79627, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 175958, Educated, *, Married, Sales, In-Family, Occident, Male, 0, 0, 50-100, *, >50k
0-100, *, 193960, Educated, *, Married, Prof-specialty, In-Family, Occident, Male, 0, 1902, 50-100, *, >50k
0-100, *, 125892, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 0, 0, 50-100, *, >50k
0-100, *, 229376, Educated, *, Married, Adm-clerical, In-Family, Occident, Male, 0, 0, 50-100, *, >50k
0-100, *, 116892, Educated, *, Married, Prof-specialty, Single, Orient, Female, 0, 0, 50-100, *, <=50k
0-100, *, 186539, Educated, *, Married, Protective-serv, In-Family, Occident, Male, 0, 0, 50-100, *, >50k
0-100, *, 261688, Educated, *, Married, Craft-repair, In-Family, Occident, Male, 5013, 0, 50-100, *, <=50k
0-100, *, 116163, Educated, *, Married, Prof-specialty, Single, Occident, Female, 0, 0, 50-100, *, <=50k
0-100, *, 110243, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 0, 0, 50-100, *, >50k
0-100, *, 75673, Educated, *, NonMarried, Adm-clerical, In-Family, Orient, Female, 0, 0, 50-100, *, <=50k
0-100, *, 141058, Educated, *, Married, Exec-managerial, Single, Occident, Male, 0, 2339, 50-100, *, <=50k
0-100, *, 357540, Educated, *, Married, Farming-fishing, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
0-100, *, 203505, Educated, *, Married, Adm-clerical, Single, Occident, Female, 0, 0, 50-100, *, <=50k
0-100, *, 330874, Educated, *, Married, Sales, In-Family, Occident, Male, 0, 0, 50-100, *, >50k
0-100, *, 122206, Educated, *, Married, Sales, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
0-100, *, 411273, Educated, *, Married, Machine-op-inspct, Single, Orient, Male, 0, 0, 50-100, *, <=50k
0-100, *, 72619, Educated, *, Married, Adm-clerical, Single, Occident, Female, 0, 0, 50-100, *, <=50k
0-100, *, 251180, Educated, *, Married, Transport-moving, In-Family, Occident, Male, 2407, 0, 50-100, *, <=50k
0-100, *, 197332, Educated, *, Married, Sales, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 236586, Educated, *, Married, Adm-clerical, In-Family, Occident, Male, 0, 0, 50-100, *, >50k
0-100, *, 257764, Educated, *, Married, Exec-managerial, Single, Occident, Female, 0, 0, 50-100, *, <=50k
0-100, *, 189123, Educated, *, Married, Craft-repair, In-Family, Occident, Male, 5013, 0, 50-100, *, <=50k
0-100, *, 34377, Educated, *, Married, Craft-repair, In-Family, Occident, Male, 0, 0, 50-100, *, >50k
0-100, *, 122584, Educated, *, Married, Sales, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 126268, Educated, *, Married, Craft-repair, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 179048, Educated, *, Married, Sales, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 117634, Educated, *, Married, Craft-repair, Single, Occident, Female, 0, 0, 0-50, *, <=50k
0-100, *, 171301, Educated, *, Married, Machine-op-inspct, In-Family, Orient, Female, 0, 0, 50-100, *, <=50k
0-100, *, 181307, Educated, *, Married, Prof-specialty, In-Family, Occident, Male, 15024, 0, 50-100, *, >50k
0-100, *, 101320, Educated, *, Married, Exec-managerial, Single, Occident, Female, 0, 0, 50-100, *, <=50k
0-100, *, 52590, Educated, *, Married, Protective-serv, Single, Orient, Male, 0, 0, 50-100, *, <=50k
0-100, *, 158685, Educated, *, Married, Adm-clerical, In-Family, Occident, Female, 0, 2377, 50-100, *, >50k
0-100, *, 233059, Educated, *, Married, Craft-repair, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 182211, Educated, *, Married, Farming-fishing, Single, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 240869, Educated, *, NonMarried, Other-service, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
0-100, *, 176814, Educated, *, Married, Adm-clerical, In-Family, Occident, Male, 5178, 0, 50-100, *, >50k
0-100, *, 35406, Educated, *, Married, Exec-managerial, Single, Occident, Female, 0, 0, 0-50, *, <=50k
0-100, *, 166857, Educated, *, Married, Handlers-cleaners, Single, Occident, Female, 0, 0, 50-100, *, <=50k
